"Code,""Nom"",""DCI"",""Marque"",""Categorie"",""Forme"",""Prix Vente"",""Prix Achat"",""Rx"",""Quantite"""
"PN1143,""Cipro 750mg Ibu cp"","""","""",""Autre"",""Comprime"",""17000"",""0"",""Non"",""5"""
"PN1144,""Oxacilline Ibu cp"","""","""",""Autre"",""Comprime"",""47000"",""0"",""Non"",""9"""
"PN1145,""Fene 400mg cp"","""","""",""Autre"",""Comprime"",""8000"",""0"",""Non"",""115"""
"PN1146,""Amoxicilline Sandoz 500mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1147,""Amoxicilline Ibu 500mg cp"","""","""",""Autre"",""Comprime"",""12000"",""0"",""Non"",""20"""
"PN1148,""Amoxicilline Creat 500mg cp"","""","""",""Autre"",""Comprime"",""10000"",""0"",""Non"",""123"""
"PN1264,""Ampicilline 500mg cp creat"","""","""",""Autre"",""Comprime"",""12000"",""0"",""Non"",""159"""
"PN1150,""Gastricid cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1151,""Hydroxyde d'Aluminium (PCG) cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1152,""Metronidazole Ibu 250mg cp"","""","""",""Autre"",""Comprime"",""3000"",""0"",""Non"",""27"""
"PN1153,""Lyncomycine 500mg cp"","""","""",""Autre"",""Comprime"",""22000"",""0"",""Non"",""23"""
"PN1154,""Ery 500mg Creat cp"","""","""",""Autre"",""Comprime"",""23000"",""0"",""Non"",""19"""
"PN1155,""Furosemid Creat 40mg cp"","""","""",""Autre"",""Comprime"",""7000"",""0"",""Non"",""19"""
